Ingredient,Effects
 PHENETHYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 PHENETHYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 PHENETHYL SENECIOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 PHENETHYL TIGLATE, FLAVORING AGENT OR ADJUVANT
 PHENOL, FLAVORING AGENT OR ADJUVANT
" PHENOL-FORMALDEHYDE, CROSS-LINKED, TETRAETHYLENEPENTAMINE ACTIVATED", PROCESSING AID
" PHENOL-FORMALDEHYDE, CROSS-LINKED, TRIETHYLENETETRAMINE ACTIVATED", PROCESSING AID
" PHENOL-FORMALDEHYDE, CROSS-LINKED, TRIETHYLENETETRAMINE & TETRAETHYLENEPENTAMINE ACTIVATED", PROCESSING AID
" PHENOL-FORMALDEHYDE, SULFITE-MODIFIED, CROSS-LINKED", PROCESSING AID
 PHENOXYACETIC ACID, FLAVORING AGENT OR ADJUVANT
 2-PHENOXYETHYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 2-PHENOXYETHYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 PHENYLACETALDEHYDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" PHENYLACETALDEHYDE 2,3-BUTYLENE GLYCOL ACETAL", FLAVORING AGENT OR ADJUVANT
 PHENYLACETALDEHYDE DIETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 PHENYLACETALDEHYDE DIISOBUTYL ACETAL, FLAVORING AGENT OR ADJUVANT
 PHENYLACETALDEHYDE DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 PHENYLACETALDEHYDE GLYCERYL ACETAL, FLAVORING AGENT OR ADJUVANT
 PHENYLACETALDEHYDE PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 PHENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 PHENYLACETIC ACID, FLAVORING AGENT OR ADJUVANT
 DL-PHENYLALANINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 L-PHENYLALANINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 4-PHENYL-2-BUTANOL, FLAVORING AGENT OR ADJUVANT
 2-PHENYL-2-BUTENAL, FLAVORING AGENT OR ADJUVANT
 4-PHENYL-3-BUTEN-2-OL, FLAVORING AGENT OR ADJUVANT
 4-PHENYL-3-BUTEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 4-PHENYL-2-BUTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 PHENYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 2-PHENYL-3-CARBETHOXY FURAN, FLAVORING AGENT OR ADJUVANT
 PHENYL DISULFIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 (+/-)-1-PHENYLETHYLMERCAPTAN, FLAVORING AGENT OR ADJUVANT
 PHENYLETHYL MERCAPTAN, FLAVORING AGENT OR ADJUVANT
 (+/-)-2-PHENYL-4-METHYL-2-HEXENAL, FLAVORING AGENT OR ADJUVANT
 1-PHENYL-3-METHYL-3-PENTANOL, FLAVORING AGENT OR ADJUVANT
 1-PHENYL-3 OR 5-PROPYLPYRAZOLE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 5-PHENYLPENTANOL, FLAVORING AGENT OR ADJUVANT
 2-PHENYL-4-PENTENAL, FLAVORING AGENT OR ADJUVANT
 3-PHENYL-4-PENTENAL, FLAVORING AGENT OR ADJUVANT
 O-PHENYLPHENOL," ANTIMICROBIAL AGENT, SURFACE-ACTIVE AGENT"
" 1-PHENYL-1,2-PROPANEDIONE", FLAVORING AGENT OR ADJUVANT
 1-PHENYL-1-PROPANOL, FLAVORING AGENT OR ADJUVANT
 3-PHENYL-1-PROPANOL, FLAVORING AGENT OR ADJUVANT
 2-PHENYL-3-(2-FURYL)-PROP-2-ENAL, FLAVORING AGENT OR ADJUVANT
 2-PHENYLPROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 2-PHENYLPROPIONALDEHYDE DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPIONIC ACID, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPYL ACETATE, FLAVORING AGENT OR ADJUVANT
 2-PHENYLPROPYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPYL FORMATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 3-PHENYLPROPYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 2-PHENYLPROPYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 3-PHENYLPROPYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 2-(3-PHENYLPROPYL)PYRIDINE, FLAVORING AGENT OR ADJUVANT
 2-(3-PHENYLPROPYL)TETRAHYDROFURAN, FLAVORING AGENT OR ADJUVANT
 PHENYL SALICYLATE," ANTIOXIDANT, STABILIZER OR THICKENER"
 PHOSPHORIC ACID," ANTIMICROBIAL AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FUMIGANT, MALTING OR FERMENTING AID, NON-NUTRITIVE SWEETENER, PH CONTROL AGENT, SEQUESTRANT"
 PHOSPHORUS OXYCHLORIDE, PH CONTROL AGENT
 PHTHALIDE, FLAVORING AGENT OR ADJUVANT
 PHYTOL, FLAVORING AGENT OR ADJUVANT
 PHYTYL ACETATE, FLAVORING AGENT OR ADJUVANT
" PIMENTA LEAF, OIL (PIMENTA OFFICINALIS LINDL.)", FLAVORING AGENT OR ADJUVANT
 3-PINANONE, FLAVORING AGENT OR ADJUVANT
" PINE BARK, WHITE, EXTRACT SOLID (PINUS STROBUS L.)", FLAVORING AGENT OR ADJUVANT
" PINE BARK, WHITE, OIL (PINUS STROBUS L.)", FLAVORING AGENT OR ADJUVANT
" PINE BARK, WHITE (PINUS STROBUS L.)", FLAVORING AGENT OR ADJUVANT
 ALPHA-PINENE, FLAVORING AGENT OR ADJUVANT
 BETA-PINENE, FLAVORING AGENT OR ADJUVANT
" PINE NEEDLE, DWARF, OIL (PINUS MUGO TURRA VAR. PUMILIO (HAENKE) ZENARI)", FLAVORING AGENT OR ADJUVANT
" PINE, SCOTCH, OIL (PINUS SYLVESTRIS L.)", FLAVORING AGENT OR ADJUVANT
" PINE TAR, OIL (PINUS SPP.)", FLAVORING AGENT OR ADJUVANT
" PINE, WHITE, OIL (PINUS SPP.)", FLAVORING AGENT OR ADJUVANT
 PINOCARVEOL, FLAVORING AGENT OR ADJUVANT
 PINOCARVYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 PIPERAZINE, FLAVORING AGENT OR ADJUVANT
 PIPERAZINE DIHYDROCHLORIDE,Not Available
 PIPERIDINE, FLAVORING AGENT OR ADJUVANT
 PIPERINE, FLAVORING AGENT OR ADJUVANT
 PIPERITENONE, FLAVORING AGENT OR ADJUVANT
 PIPERITENONE OXIDE, FLAVORING AGENT OR ADJUVANT
 D-PIPERITONE, FLAVORING AGENT OR ADJUVANT
 L-PIPERITONE, FLAVORING AGENT OR ADJUVANT
 PIPER LONGUM DISTILLATE, FLAVORING AGENT OR ADJUVANT
 PIPERONAL, FLAVORING AGENT OR ADJUVANT
 PIPERONAL PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 PIPERONYL ACETATE, FLAVORING AGENT OR ADJUVANT
 PIPERONYL ISOBUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" PIPSISSEWA LEAVES, EXTRACT (CHIMAPHILA UMBELLATA NUTT.)", FLAVORING AGENT OR ADJUVANT
" 1,3-P-MENTHADIEN-7-AL", FLAVORING AGENT OR ADJUVANT
" P-MENTHANE-3,8-DIOL", FLAVORING AGENT OR ADJUVANT
 P-MENTHAN-7-OL, FLAVORING AGENT OR ADJUVANT
 P-MENTH-1-EN-9-OL, FLAVORING AGENT OR ADJUVANT
 POLYACRYLAMIDE, FORMULATION AID
" POLYACRYLAMIDE RESIN, MODIFIED", PROCESSING AID
" POLY(ACRYLIC ACID-CO-HYPOPHOSPHITE), SODIUM SALT", BOILER WATER ADDITIVE
" POLYACRYLIC ACID, SODIUM SALT"," BOILER WATER ADDITIVE, WASHING OR SURFACE REMOVAL AGENT"
 POLYDEXTROSE," FORMULATION AID, HUMECTANT, NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
 POLY(DIVINYLBENZENE-CO-ETHYLSTYRENE), SOLVENT OR VEHICLE
 POLY(DIVINYLBENZENE-CO-TRIMETHYL(VINYLBENZYL)AMMONIUM CHLORIDE), PROCESSING AID
" POLYETHYLENE (M W 2,000-21,000)"," MALTING OR FERMENTING AID, SEQUESTRANT, SURFACE-FINISHING AGENT"
" POLYETHYLENE GLYCOL (M W 200-9,500)"," BOILER WATER ADDITIVE, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, SURFACE-ACTIVE AGENT"
" POLYETHYLENE, OXIDIZED", SURFACE-FINISHING AGENT
" POLYETHYLENIMINE REACTION PRODUCT W/ 1,2-DICHLOROETHANE", OXIDIZING OR REDUCING AGENT
 POLYGLYCERYL PHTHALATE ESTER OF COCONUT OIL FATTY ACIDS,Not Available
" POLYISOBUTYLENE (MIN M W 37,000)", MASTICATORY SUBSTANCE
 POLYLIMONENE," FLAVORING AGENT OR ADJUVANT, SURFACE-FINISHING AGENT"
 POLYMALEIC ACID, PROCESSING AID
" POLYMALEIC ACID, SODIUM SALT", PROCESSING AID
" POLY(MALEIC ANHYDRIDE), SODIUM SALT", BOILER WATER ADDITIVE
 POLYOXYETHYLENE DIOLEATE, SURFACE-ACTIVE AGENT
 POLYOXYETHYLENE (600) DIOLEATE, SURFACE-ACTIVE AGENT
 POLYOXYETHYLENE 40 MONOSTEARATE, SURFACE-ACTIVE AGENT
" POLYPROPYLENE GLYCOL (M W 1,200-3,000)"," BOILER WATER ADDITIVE, SURFACE-ACTIVE AGENT"
 POLYSORBATE 20," BOILER WATER ADDITIVE, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
 POLYSORBATE 60," BOILER WATER ADDITIVE, EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
 POLYSORBATE 65," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 POLYSORBATE 80," COLOR OR COLORING ADJUNCT, EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" POLYSTYRENE, CROSS-LINKED, CHLOROMETHYLATED, THEN AMINATED WITH TRIMETHYLAMINE, DIMETHYLAMINE, DIETHYLENETRIAMINE, OR TRIETHANOLAMINE",Not Available
 POLYVINYL ACETATE, MASTICATORY SUBSTANCE
 POLYVINYL ALCOHOL, SOLVENT OR VEHICLE
 POLYVINYL POLYPYRROLIDONE," PROCESSING AID, SURFACE-FINISHING AGENT"
 POLYVINYLPYRROLIDONE," FORMULATION AID, PROCESSING AID, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" POMEGRANATE BARK, EXTRACT (PUNICA GRANATUM L.)", FLAVORING AGENT OR ADJUVANT
 POPLAR BUDS (POPULUS SPP.), FLAVORING AGENT OR ADJUVANT
 POPPY SEED (PAPAVER SOMNIFERUM L.), FLAVORING AGENT OR ADJUVANT
 POTASSIUM ACETATE, FLAVORING AGENT OR ADJUVANT
 POTASSIUM ACID PYROPHOSPHATE," EMULSIFIER OR EMULSIFIER SALT, TEXTURIZER"
 POTASSIUM BENZOATE, ANTIMICROBIAL AGENT
 POTASSIUM BICARBONATE," FORMULATION AID, LEAVENING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID"
 POTASSIUM BISULFITE, ANTIMICROBIAL AGENT
 POTASSIUM BORATE,Not Available
 POTASSIUM BROMATE," DOUGH STRENGTHENER, FLOUR TREATING AGENT, LEAVENING AGENT, OXIDIZING OR REDUCING AGENT"
 POTASSIUM BROMIDE, WASHING OR SURFACE REMOVAL AGENT
 POTASSIUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 POTASSIUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 POTASSIUM CARBONATE," FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, PROCESSING AID"
 POTASSIUM CASEINATE," ENZYME, NUTRIENT SUPPLEMENT"
 POTASSIUM CYCLAMATE--PROHIBITED, NON-NUTRITIVE SWEETENER
 POTASSIUM 2-(1'-ETHOXY)ETHOXYPROPANOATE, FLAVORING AGENT OR ADJUVANT
 POTASSIUM FUMARATE, NUTRIENT SUPPLEMENT
 POTASSIUM GIBBERELLATE, PROCESSING AID
 POTASSIUM GLUCONATE," NUTRIENT SUPPLEMENT, SEQUESTRANT"
 POTASSIUM GLYCEROPHOSPHATE,Not Available
 POTASSIUM HYDROXIDE," FORMULATION AID, FUMIGANT, PH CONTROL AGENT, PROCESSING AID, STABILIZER OR THICKENER, WASHING OR SURFACE REMOVAL AGENT"
 POTASSIUM HYPOPHOSPHATE,Not Available
 POTASSIUM HYPOPHOSPHITE,Not Available
 POTASSIUM IODATE," DOUGH STRENGTHENER, FLOUR TREATING AGENT, MALTING OR FERMENTING AID, NUTRIENT SUPPLEMENT, OXIDIZING OR REDUCING AGENT"
 POTASSIUM IODIDE," NUTRIENT SUPPLEMENT, TRACER"
 POTASSIUM LACTATE, FLAVOR ENHANCER
 POTASSIUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 POTASSIUM METABISULFITE," ANTIMICROBIAL AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, DOUGH STRENGTHENER, FLOUR TREATING AGENT, OXIDIZING OR REDUCING AGENT"
 POTASSIUM N-METHYLDITHIOCARBAMATE, ANTIMICROBIAL AGENT
 POTASSIUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, LUBRICANT OR RELEASE AGENT"
 POTASSIUM NITRATE," ANTIMICROBIAL AGENT, COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 POTASSIUM NITRITE,Not Available
 POTASSIUM OLEATE," ANTIMICROBIAL AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, STABILIZER OR THICKENER"
 POTASSIUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 POTASSIUM PECTINATE," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 POTASSIUM PERMANGANATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 POTASSIUM PERSULFATE, SURFACE-ACTIVE AGENT
" POTASSIUM PHOSPHATE, MONOBASIC"," MALTING OR FERMENTING AID, NUTRIENT SUPPLEMENT, PH CONTROL AGENT, STABILIZER OR THICKENER"
" POTASSIUM PHOSPHATE, TRIBASIC"," EMULSIFIER OR EMULSIFIER SALT, PH CONTROL AGENT, STABILIZER OR THICKENER"
 POTASSIUM POLYMETAPHOSPHATE," EMULSIFIER OR EMULSIFIER SALT, HUMECTANT"
 POTASSIUM PYROPHOSPHATE," EMULSIFIER OR EMULSIFIER SALT, TEXTURIZER"
 POTASSIUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 POTASSIUM STEARATE," ANTIMICROBIAL AGENT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, STABILIZER OR THICKENER"
 POTASSIUM SULFATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, MALTING OR FERMENTING AID"
 POTASSIUM SULFITE,Not Available
 POTASSIUM TRIPOLYPHOSPHATE," NUTRIENT SUPPLEMENT, TEXTURIZER"
 POTATO STARCH," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, LUBRICANT OR RELEASE AGENT, NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
 PRENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 PRENYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 PRENYL CAPROATE, FLAVORING AGENT OR ADJUVANT
 PRENYL FORMATE, FLAVORING AGENT OR ADJUVANT
 PRENYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 PRENYL THIOACETATE, FLAVORING AGENT OR ADJUVANT
 PRENYLTHIOL, FLAVORING AGENT OR ADJUVANT
 PRICKLY ASH BARK EXTRACT (XANTHOXYLUM SPP.), FLAVORING AGENT OR ADJUVANT
" PRICKLY ASH BARK, OIL", FLAVORING AGENT OR ADJUVANT
 L-PROLINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 PROPANE, PROPELLANT
" 1,1-PROPANEDITHIOL", FLAVORING AGENT OR ADJUVANT
" 1,2-PROPANEDITHIOL", FLAVORING AGENT OR ADJUVANT
" 1,3-PROPANEDITHIOL", FLAVORING AGENT OR ADJUVANT
 2-PROPANETHIOL, FLAVORING AGENT OR ADJUVANT
 3-(METHYLTHIO)PROPANOL, FLAVORING AGENT OR ADJUVANT
" 4-PROPENYL-2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
 PROPENYLGUAETHOL, FLAVORING AGENT OR ADJUVANT
 (Z)-4-PROPENYLPHENOL, FLAVORING AGENT OR ADJUVANT
 4-(2-PROPENYL)PHENYL-BETA-D-GLUCOPYRANOSIDE, FLAVORING AGENT OR ADJUVANT
 PROPENYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 DI-(1-PROPENYL)-SULFIDE (MIXTURE OF ISOMERS), FLAVORING AGENT OR ADJUVANT
 PROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 PROPIONIC ACID," ANTIMICROBIAL AGENT, FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT"
 2-(4-METHYL-2-HYDROXYPHENYL)PROPIONIC ACID-GAMMA-LACTONE, FLAVORING AGENT OR ADJUVANT
 2-PROPIONYLPYRROLE, FLAVORING AGENT OR ADJUVANT
 2-PROPIONYLPYRROLINE, FLAVORING AGENT OR ADJUVANT
 2-PROPIONYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 2-PROPIONYL-2-THIAZOLINE, FLAVORING AGENT OR ADJUVANT
 PROPIOPHENONE, FLAVORING AGENT OR ADJUVANT
 PROPYL ACETATE, FLAVORING AGENT OR ADJUVANT
 PROPYL ALCOHOL," FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 PROPYLAMINE, FLAVORING AGENT OR ADJUVANT
 P-PROPYLANISOLE, FLAVORING AGENT OR ADJUVANT
 PROPYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 PROPYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 PROPYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
" PROPYL 2,4-DECADIENOATE", FLAVORING AGENT OR ADJUVANT
" 4-PROPYL-2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
" 2-PROPYL-4,5-DIMETHYLOXAZOLE", FLAVORING AGENT OR ADJUVANT
 PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 PROPYLENE CHLOROHYDRIN, DOUGH STRENGTHENER
 PROPYLENE GLYCOL," ANTICAKING AGENT OR FREE-FLOW AGENT, ANTIMICROBIAL AGENT, ANTIOXIDANT, DRYING AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, SOLVENT OR VEHICLE"
 PROPYLENE GLYCOL ALGINATE," EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, PROCESSING AID, SOLVENT OR VEHICLE, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, SURFACE-FINISHING AGENT"
 PROPYLENEGLYCOL DIACETATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENE GLYCOL DIBENZOATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL DIBUTYRATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL DIHEXANOATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL DI-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL DIOCTANOATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL DIPROPIONATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENE GLYCOL MONO- AND DIESTERS OF FATS AND FATTY ACIDS," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER"
 PROPYLENEGLYCOL MONOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL MONOHEXANOATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENEGLYCOL MONO-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 PROPYLENE GLYCOL STEARATE," EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, STABILIZER OR THICKENER"
 PROPYLENE OXIDE,Not Available
 PROPYL FORMATE, FLAVORING AGENT OR ADJUVANT
 PROPYL 2-FURANACRYLATE, FLAVORING AGENT OR ADJUVANT
 PROPYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 PROPYL GALLATE," ANTIOXIDANT, FLAVORING AGENT OR ADJUVANT"
 PROPYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 PROPYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 3-PROPYLIDENEPHTHALIDE, FLAVORING AGENT OR ADJUVANT
 PROPYL ISOBUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 PROPYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 PROPYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 PROPYL MERCAPTAN, FLAVORING AGENT OR ADJUVANT
 PROPYL 2-MERCAPTOPROPIONATE,Not Available
 PROPYL 2-METHYL-3-FURYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 ALPHA-PROPYLPHENETHYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 O-PROPYLPHENOL, FLAVORING AGENT OR ADJUVANT
 P-PROPYLPHENOL, FLAVORING AGENT OR ADJUVANT
 PROPYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 PROPYL PROPANE THIOSULFONATE, FLAVORING AGENT OR ADJUVANT
 PROPYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 2-PROPYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 2-PROPYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 PROPYL PYRUVATE, FLAVORING AGENT OR ADJUVANT
 PROPYL SORBATE, FLAVORING AGENT OR ADJUVANT
 PROPYL 4-TERT-BUTYLPHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 PROPYL THIOACETATE, FLAVORING AGENT OR ADJUVANT
 PROTEASE FROM ASPERGILLUS FLAVUS," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, STABILIZER OR THICKENER"
 PROTEASE FROM ASPERGILLUS NIGER," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, STABILIZER OR THICKENER"
 PROTEASE FROM ASPERGILLUS ORYZAE," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, STABILIZER OR THICKENER"
 PROTEASE FROM BACILLUS AMYLOLIQUEFACIENS, ENZYME
 PROTEASE FROM BACILLUS LICHENIFORMIS," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, STABILIZER OR THICKENER"
 PROTEASE FROM BACILLUS SUBTILIS," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, STABILIZER OR THICKENER"
" PROTEIN, ANIMAL, HYDROLYZED"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" PROTEIN HYDROLYSATE, UNSPECIFIED"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT, STABILIZER OR THICKENER, TEXTURIZER"
" PROTEIN, MILK, HYDROLYZED", FLAVORING AGENT OR ADJUVANT
" PROTEIN, VEGETABLE, HYDROLYZED"," ANTICAKING AGENT OR FREE-FLOW AGENT, DRYING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, HUMECTANT, NUTRIENT SUPPLEMENT, TEXTURIZER"
 PSEUDOIONONE, FLAVORING AGENT OR ADJUVANT
 PSYLLIUM SEED HUSK,Not Available
 PULP, PROCESSING AID
 PYRAZINE, FLAVORING AGENT OR ADJUVANT
 PYRAZINE ETHANETHIOL, FLAVORING AGENT OR ADJUVANT
 PYRAZINYL METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 2-PYRIDINEMETHANETHIOL, FLAVORING AGENT OR ADJUVANT
 PYRIDOXINE,Not Available
 PYRIDOXINE HYDROCHLORIDE, NUTRIENT SUPPLEMENT
 PYROLIGNEOUS ACID, FLAVORING AGENT OR ADJUVANT
" PYROLIGNEOUS ACID, EXTRACT", FLAVORING AGENT OR ADJUVANT
 PYRROLE, FLAVORING AGENT OR ADJUVANT
 PYRROLIDINE, FLAVORING AGENT OR ADJUVANT
" PYRROLIDINO-[1,2E]-4H-2,4-DIMETHYL-1,3,5-DITHIAZINE", FLAVORING AGENT OR ADJUVANT
 1-PYRROLINE, FLAVORING AGENT OR ADJUVANT
 PYRUVALDEHYDE, FLAVORING AGENT OR ADJUVANT
 PYRUVIC ACID, FLAVORING AGENT OR ADJUVANT
" QUASSIA, EXTRACT (PICRASMA EXCELSA (SW.) PLANCH OR QUASSIA AMARA L.)", FLAVORING AGENT OR ADJUVANT
 QUATERNARY AMMONIUM CHLORIDE COMBINATION, ANTIMICROBIAL AGENT
 QUEBRACHO BARK EXTRACT, FLAVORING AGENT OR ADJUVANT
 QUILLAIA EXTRACT (QUILLAJA SAPONARIA MOLINA), FLAVORING AGENT OR ADJUVANT
 QUILLAIA (QUILLAJA SAPONARIA MOLINA)," EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, PROPELLANT, SURFACE-FINISHING AGENT"
" QUINCE SEED, EXTRACT (CYDONIA SPP.)", FLAVORING AGENT OR ADJUVANT
 QUININE BISULFATE, FLAVORING AGENT OR ADJUVANT
